method,path,code,size,latency
GET,"/doc/105","200",4638,59.041
GET,"/doc/106","200",5880,68.954
POST,"/doc/107","200",166,3726.571
PUT,"/doc/1","200",265,1819.338
GET,"/doc/108","200",3814,0.426
GET,"/doc/109","200",3814,0.319
GET,"/doc/110","200",5232,390.858
POST,"/doc/111","200",166,4210.292
POST,"/doc/112","200",166,4000.043
POST,"/doc/113","200",166,3747.243
POST,"/doc/114","200",166,2593.358
POST,"/doc/115","200",165,1409.617
POST,"/doc/116","200",166,1347.053
POST,"/doc/117","200",138,14.724
PUT,"/doc/1","200",265,3139.714
PUT,"/doc/1","200",265,2991.386
POST,"/doc/118","200",166,1343.712
PUT,"/doc/38","200",269,5059.074
PUT,"/doc/18","200",267,4227.235
POST,"/doc/119","200",166,111.447
PUT,"/doc/1","200",265,3633.208
PUT,"/doc/18","200",271,6474.165
PUT,"/doc/18","200",269,6210.167
PUT,"/doc/18","200",271,6615.351
PUT,"/doc/1","200",265,1639.414
PUT,"/doc/18","200",271,4212.960
PUT,"/doc/1","200",265,1378.697
PUT,"/doc/1","200",265,530.867
PUT,"/doc/18","200",271,1642.364
PUT,"/doc/18","200",271,143.823
PUT,"/doc/18","200",269,38.992
PUT,"/doc/1","200",265,8.235
POST,"/doc/120","200",166,564.592
GET,"/doc/21","200",4637,0.446
GET,"/doc/121","200",4637,45.777
GET,"/doc/122","200",4689,104.076
POST,"/doc/123","200",166,1826.691
GET,"/doc/22","200",5742,2.318
GET,"/doc/124","200",4637,125.112
GET,"/doc/125","200",4637,73.380
GET,"/doc/126","200",7293,278.555
GET,"/doc/30","200",4644,0.575
GET,"/doc/28","200",6419,0.524
POST,"/doc/127","200",166,2323.982
POST,"/doc/128","200",166,2259.842
GET,"/doc/32","200",5480,71.997
GET,"/doc/34","200",4637,70.660
POST,"/doc/129","200",166,2486.415
POST,"/doc/130","200",166,1072.269
GET,"/doc/31","200",4785,0.408
PUT,"/doc/18","200",271,3429.097
PUT,"/doc/1","200",265,2062.941
PUT,"/doc/1","200",265,1847.935
PUT,"/doc/18","200",265,2518.792
PUT,"/doc/18","200",269,2720.375
GET,"/doc/131","200",10437,244.219
GET,"/doc/132","200",4637,386.073
PUT,"/doc/18","200",271,2407.542
PUT,"/doc/1","200",265,295.658
PUT,"/doc/1","200",265,267.969
PUT,"/doc/18","200",271,270.560
GET,"/doc/39","200",5052,0.886
GET,"/doc/42","200",5528,41.720
GET,"/doc/47","200",5528,0.339
GET,"/doc/133","200",5528,304.281
PUT,"/doc/1","200",265,927.530
PUT,"/doc/1","200",265,793.129
GET,"/doc/59","200",5528,0.608
GET,"/doc/57","200",5528,0.581
GET,"/doc/49","404",180,0.533
GET,"/doc/134","200",5528,126.184
GET,"/doc/135","200",5528,339.374
GET,"/doc/58","200",5528,0.316
GET,"/doc/58","200",5528,0.325
POST,"/doc/136","200",166,2143.395
POST,"/doc/137","200",166,2199.257
PUT,"/doc/18","200",271,2618.348
POST,"/doc/138","200",166,2670.170
PUT,"/doc/18","200",269,2237.845
PUT,"/doc/1","200",265,1227.702
PUT,"/doc/1","200",265,1103.911
GET,"/doc/66","404",180,0.449
GET,"/doc/3","200",4047,0.453
GET,"/doc/4","200",795,0.090
GET,"/doc/3","200",4047,0.472
GET,"/doc/4","200",795,0.083
GET,"/doc/5","200",14654,0.786
GET,"/doc/78","200",5528,0.458
GET,"/doc/82","200",5528,0.477
GET,"/doc/3","200",4047,0.470
GET,"/doc/4","200",795,0.080
GET,"/doc/83","200",5528,0.274
GET,"/doc/139","200",5528,373.419
GET,"/doc/140","200",5528,47.688
GET,"/doc/141","200",5528,254.471
GET,"/doc/142","200",5528,113.723
GET,"/doc/143","200",5528,467.240
GET,"/doc/144","200",5528,121.755
GET,"/doc/145","200",5528,536.976
GET,"/doc/146","200",5528,14.248
PUT,"/doc/1","200",265,2328.707
PUT,"/doc/1","200",265,1638.154
POST,"/doc/147","200",166,3783.612
GET,"/doc/148","200",5528,330.028
GET,"/doc/79","200",5528,0.427
GET,"/doc/84","200",7013,0.386
GET,"/doc/86","200",7310,0.442
GET,"/doc/149","200",7542,159.512
GET,"/doc/150","200",5528,228.414
GET,"/doc/151","200",5528,334.293
GET,"/doc/152","200",7013,122.104
GET,"/doc/153","200",5528,398.210
GET,"/doc/93","200",5528,0.308
GET,"/doc/154","200",5528,335.024
GET,"/doc/92","200",10526,0.514
GET,"/doc/96","200",10079,0.676
GET,"/doc/97","200",4658,29.969
POST,"/doc/155","200",166,2269.084
POST,"/doc/156","200",166,2221.187
POST,"/doc/157","200",166,2400.206
PUT,"/doc/18","200",271,4649.016
GET,"/doc/3","200",4047,0.415
GET,"/doc/99","404",59,0.113
GET,"/doc/101","200",4637,10.631
GET,"/doc/4","200",795,0.164
GET,"/doc/158","200",4839,168.071
GET,"/doc/104","200",6134,0.515
GET,"/doc/106","200",5880,0.481
GET,"/doc/3","200",4047,0.444
GET,"/doc/4","200",795,0.084
GET,"/doc/5","200",14654,0.738
GET,"/doc/3","200",4047,0.443
GET,"/doc/4","200",795,0.080
GET,"/doc/159","200",5528,498.141
GET,"/doc/160","200",5284,17.418
POST,"/doc/161","200",166,1911.616
GET,"/doc/162","200",5231,18.841
POST,"/doc/163","200",166,1111.087
POST,"/doc/164","200",166,1172.171
POST,"/doc/165","200",166,1131.803
POST,"/doc/166","200",165,453.876
PUT,"/doc/1","200",265,3684.660
PUT,"/doc/1","200",265,3150.358
POST,"/doc/167","200",166,107.845
POST,"/doc/168","200",166,106.738
POST,"/doc/2","200",138,7.344
PUT,"/doc/1","200",265,2591.813
POST,"/doc/169","200",166,52.345
PUT,"/doc/18","200",271,4613.051
PUT,"/doc/18","200",271,4294.102
PUT,"/doc/1","200",265,1808.105
PUT,"/doc/1","200",265,2114.130
PUT,"/doc/18","200",271,3832.337
PUT,"/doc/18","200",271,3326.988
PUT,"/doc/18","200",269,2408.282
PUT,"/doc/1","200",265,366.715
PUT,"/doc/18","200",271,805.321
PUT,"/doc/18","200",269,275.115
PUT,"/doc/18","200",271,249.131
PUT,"/doc/1","200",265,41.861
PUT,"/doc/18","200",269,70.852
PUT,"/doc/18","200",271,40.947
PUT,"/doc/18","200",269,5.946
POST,"/doc/170","200",166,626.045
PUT,"/doc/1","200",265,56.610
POST,"/doc/171","200",166,1503.641
POST,"/doc/172","200",166,1636.178
PUT,"/doc/18","200",267,2014.473
PUT,"/doc/18","200",271,2290.178
POST,"/doc/173","200",164,1108.213
GET,"/doc/3","200",4047,0.433
GET,"/doc/4","200",795,0.123
PUT,"/doc/18","200",267,757.795
POST,"/doc/174","200",166,1328.257
PUT,"/doc/18","200",269,1337.135
POST,"/doc/175","200",166,75.609
PUT,"/doc/18","200",271,1340.979
PUT,"/doc/18","200",269,597.144
PUT,"/doc/18","200",267,77.912
POST,"/doc/176","200",166,128.587
POST,"/doc/177","200",166,42.694
PUT,"/doc/18","200",269,29.099
PUT,"/doc/18","200",267,1.116
GET,"/doc/3","200",4047,0.445
GET,"/doc/4","200",795,0.124
GET,"/doc/5","200",14654,0.702
GET,"/doc/3","200",4047,0.502
GET,"/doc/4","200",795,0.077
